sector_code, sector_name           , industry_group_code, industry_group_name                             , industry_code, industry_name                                        , industry_description
         35, Health Care           ,                3510, Health Care Equipment & Services                ,        351030, Health Care Technology                               , "Health Care Technology: Companies providing information technology services primarily to health care providers.  Includes companies providing application, systems and/or data processing software, internet-based tools, and IT consulting services to doctors, hospitals or businesses operating primarily in the Health Care Sector."
         35, Health Care           ,                3520, "Pharmaceuticals, Biotechnology & Life Sciences",        352010, Biotechnology                                        , "Biotechnology: Companies primarily engaged in the research, development, manufacturing and/or marketing of products based on genetic analysis and genetic engineering.  Includes companies specializing in protein-based therapeutics to treat human diseases. Excludes companies manufacturing products using biotechnology but without a health care application."
         35, Health Care           ,                3520, "Pharmaceuticals, Biotechnology & Life Sciences",        352020, Pharmaceuticals                                      , "Pharmaceuticals: Companies engaged in the research, development or production of pharmaceuticals. Includes veterinary drugs."
         35, Health Care           ,                3520, "Pharmaceuticals, Biotechnology & Life Sciences",        352030, Life Sciences Tools & Services                       , "Life Sciences Tools & Services: Companies enabling the drug discovery, development and production continuum by providing analytical tools, instruments, consumables & supplies, clinical trial services and contract research services.  Includes firms primarily servicing the pharmaceutical and biotechnology industries."
         40, Financials            ,                4010, Banks                                           ,        401010, Banks                                                , "Diversified Banks: Large, geographically diverse banks with a national footprint whose revenues are derived primarily from conventional banking operations, have significant business activity in retail banking and small and medium corporate lending, and provide a diverse range of financial services.  Excludes banks classified in the Regional Banks and Thrifts & Mortgage Finance Sub-Industries. Also excludes investment banks classified in the Investment Banking & Brokerage Sub-Industry. | Regional Banks: Commercial banks whose businesses are derived primarily from conventional banking operations and have significant business activity in retail banking and small and medium corporate lending. Regional banks tend to operate in limited geographic regions. Excludes companies classified in the Diversified Banks and Thrifts & Mortgage Banks sub-industries. Also excludes investment banks classified in the Investment Banking & Brokerage Sub-Industry."
         40, Financials            ,                4020, Financial Services                              ,        402010, Financial Services                                   , "Diversified Financial Services: Providers of a diverse range of financial services and/or with some interest in a wide range of financial services including banking, annuity, insurance, investment management and capital markets, but with no dominant business line. | Multi-Sector Holdings: Companies with significantly diversified holdings across three or more GICS Sectors, none of which contributes a majority of profit and/or sales. Stakes held are predominantly of a non-controlling nature. | Specialized Finance: Providers  of  specialized  financial  services  not  classified  elsewhere. Companies  in  this  sub-industry  derive  a  majority  of  revenue  from  one  specialized  line  of  business.
                                                                                                                                                                                  Includes,  but  not  limited  to,  commercial  financing  companies,  central  banks,  leasing  institutions, factoring services, and specialty boutiques. Excludes companies classified in the Financial Exchanges & Data sub-industry. | Commercial & Residential Mortgage Finance: Financial companies providing commercial and residential mortgage financing and related mortgage services. This Sub-Industry includes non- deposit funded mortgage lending institutions, building societies, companies providing real estate financing products, loan servicing, mortgage broker services, and mortgage insurance. | Transaction & Payment Processing Services: Providers of transaction & payment processing services and related payment services including digital/mobile payment processors, payment service providers & gateways, and digital wallet providers."
         40, Financials            ,                4020, Financial Services                              ,        402020, Consumer Finance                                     , "Consumer Finance: Providers of consumer finance services, including personal credit, credit cards, lease financing, travel-related money services and pawn shops.  Excludes mortgage lenders classified in the Thrifts & Mortgage Finance Sub-Industry."
         40, Financials            ,                4020, Financial Services                              ,        402030, Capital Markets                                      , "Asset Management & Custody Banks: Financial institutions primarily engaged in investment management and/or related custody and securities fee-based services. Includes companies operating mutual funds, closed-end funds and unit investment trusts.  Excludes banks and other financial institutions primarily involved in commercial lending, investment banking, brokerage and other specialized financial activities. | Investment Banking & Brokerage: Financial institutions primarily engaged in investment banking & brokerage services, including equity and debt underwriting, mergers and acquisitions, securities lending and advisory services. Excludes banks and other financial institutions primarily involved in commercial lending, asset management and specialized financial activities. | Diversified Capital Markets: Financial institutions primarily engaged in diversified capital markets activities, including a significant presence in at least two of the following area: large/major corporate lending, investment banking, brokerage and asset management. Excludes less diversified companies classified in the Asset Management & Custody Banks or Investment Banking & Brokerage sub-industries.  Also excludes companies classified in the Banks or Insurance industry groups or the Consumer Finance Sub-Industry. | Financial Exchanges & Data: Financial exchanges for securities, commodities, derivatives, cryptocurrencies and other financial instruments, and providers of financial decision support tools and products including ratings agencies."
         40, Financials            ,                4020, Financial Services                              ,        402040, "Mortgage Real Estate Investment
                                                                                                                           Trusts (REITs)"                                      , "Mortgage REITs: Companies or Trusts that service, originate, purchase and/or securitize residential and/or commercial mortgage loans.  Includes trusts that invest in mortgage-backed securities and other mortgage related assets."
         40, Financials            ,                4030, Insurance                                       ,        403010, Insurance                                            , "Insurance Brokers: Insurance and reinsurance brokerage firms. | Life & Health Insurance: Companies providing primarily life, disability, indemnity or supplemental health insurance. Excludes managed care companies classified in the Managed Health Care Sub-Industry. | Multi-line Insurance: Insurance companies with diversified interests in life, health and property and casualty insurance. | Property & Casualty Insurance: Companies providing primarily property and casualty insurance, including financial & title insurance. | Reinsurance: Companies providing primarily reinsurance."
         45, Information Technology,                4510, Software & Services                             ,        451020, IT Services                                          , IT Consulting & Other Services: Providers of information technology and systems integration services not classified in the Data Processing & Outsourced Services Sub-Industry.  Includes information technology consulting and information management services. | Internet Services & Infrastructure: Companies providing services and infrastructure for the internet industry including data centers and cloud networking and storage infrastructure. Also includes companies providing web hosting services. Excludes companies classified in the Software Industry.
         45, Information Technology,                4510, Software & Services                             ,        451030, Software                                             , "Application Software: Companies engaged in developing and producing software designed for specialized applications for the business or consumer market. Includes enterprise and technical software, as well as cloud-based software. Excludes companies classified in the Interactive Home Entertainment Sub-Industry. Also excludes companies producing systems or database management software classified in the Systems Software Sub-Industry. | Systems Software: Companies engaged in developing and producing systems and database management software."
         45, Information Technology,                4520, Technology Hardware & Equipment                 ,        452010, Communications Equipment                             , "Communications Equipment: Manufacturers of communication equipment and products, including LANs (Local Area Networks), WANs (Wide Area Networks), routers, telephone apparatus & modems, switchboards & exchanges and fiber optic cables & coaxial cables used by the telecommunications industry."
         45, Information Technology,                4520, Technology Hardware & Equipment                 ,        452020, "Technology Hardware, Storage & Peripherals"         , "Technology Hardware, Storage & Peripherals: Manufacturers of smartphones, personal computers, laptops, notebooks, servers, electronic computer printers, and related components and peripherals."
         45, Information Technology,                4520, Technology Hardware & Equipment                 ,        452030, "Electronic Equipment, Instruments & Components"     , "Electronic Equipment & Instruments: Manufacturers of electronic equipment and instruments including analytical, electronic test and measurement instruments, scanner/barcode products, lasers, display screens, point-of-sales machines, and security system equipment. | Electronic Components: Manufacturers of electronic components generally used to create end products. | Electronic Manufacturing Services: Producers of electronic equipment mainly for the OEM (Original Equipment Manufacturers) markets. These companies manufacture products that are largely customized as per the specifications outlined by their clients. | Technology Distributors: Distributors of software, technology hardware and equipment, communications equipment, computers & peripherals, semiconductors, and electronic equipment & components."
